N-GRAM,TOT,GEN,INF
the,12990,6226,7108
of,8569,3102,5609
a,7115,2152,5093
and,5680,2612,3232
in,5400,2049,3469
is,5011,899,4156
to,3890,2563,1427
or,2701,397,2316
that,1831,1046,818
as,1680,701,1018
was,1622,872,796
for,1401,867,585
an,1372,333,1058
with,1267,687,616
by,1265,562,739
from,1122,413,735
on,1098,742,397
it,1038,955,123
's,967,753,253
are,853,440,427
which,779,377,422
be,740,631,130
at,655,499,187
he,634,633,24
greek,631,3,628
also,615,135,489
i,612,622,16
one,598,267,345
not,497,443,75
have,492,462,57
you,488,504,2
his,478,418,83
who,454,220,244
this,451,451,19
known,442,31,413
but,437,403,56
had,430,438,13
mythology,425,1,424
were,417,337,94
city,384,25,361
they,377,358,31
other,372,164,215
has,354,271,102
its,337,162,182
she,336,339,9
her,326,320,30
their,326,245,90
all,325,251,90
been,318,276,51
we,307,313,1
NN,51165,19688,32664
IN,28314,13379,15622
DT,23638,10391,13803
JJ,20532,8048,12923
NNS,12730,6111,6906
CC,9028,3522,5711
RB,7581,4813,3005
VBZ,7279,2261,5134
VBN,6563,3141,3571
VBD,5121,3833,1467
VB,4849,3792,1213
PRP,4582,4425,326
CD,3879,2033,1953
VBG,3443,1815,1720
VBP,2363,1696,743
TO,2176,1659,583
PRP$,1682,1363,387
WDT,1657,568,1116
MD,1463,1357,157
NNP,853,197,670
POS,750,524,255
WP,674,416,274
WRB,554,458,113
RP,550,508,66
JJR,469,286,196
JJS,418,176,249
UH,392,312,90
FW,282,72,212
RBR,260,196,70
EX,235,231,21
RBS,198,83,119
LS,118,54,64
PDT,109,103,12
XX,86,36,57
AFX,83,32,54
WP$,61,15,46
SYM,49,26,23
:,21,3,18
ADD,10,0,10
$,4,1,3
NNPS,4,1,3
NFP,4,1,4
'',3,0,3
",",2,1,1
-LRB-,2,0,2
``,1,0,1
HYPH,1,0,1
.,1,0,1
-RRB-,1,1,0
