N-GRAM SIZE,N-GRAM TARGET,KERNEL,VECSIZE,C,nSV,SCORE,ITERATIONS
2s,pos,linear,50,10.0,2732,0.8441255006675568,1306660
2s,pos,linear,50,100.0,2741,0.8437917222963952,10000000
2s,pos,linear,50,1000.0,2901,0.842456608811749,10000000
2s,pos,linear,50,10000.0,6353,0.4362483311081442,10000000
2s,pos,rbf,50,0.1,3929,0.8317757009345794,2262
2s,pos,rbf,50,1.0,2967,0.8568090787716955,3062
2s,pos,rbf,50,10.0,2685,0.8588117489986649,14698
2s,pos,rbf,50,100.0,2624,0.8354472630173565,72935
2s,pos,rbf,50,1000.0,2423,0.8094125500667557,256908
2s,pos,rbf,50,10000.0,2154,0.7960614152202937,640512
2s,pos,poly,50,0.1,5924,0.644192256341789,4126
2s,pos,poly,50,1.0,4769,0.7409879839786382,6214
2s,pos,poly,50,10.0,3776,0.7987316421895861,22281
2s,pos,poly,50,100.0,3047,0.8160881174899867,79700
2s,pos,poly,50,1000.0,2519,0.8147530040053405,300663
2s,pos,poly,50,10000.0,2252,0.8054072096128171,576983
2,word,linear,500,0.1,1748,0.9205607476635514,6310
2,word,linear,500,1.0,1187,0.9335781041388518,54276
2,word,linear,500,10.0,1086,0.9322429906542056,362652
2,word,linear,500,100.0,1046,0.9315754339118825,4615709
2,word,linear,500,1000.0,1024,0.9279038718291055,10000000
2,word,linear,500,10000.0,1014,0.9228971962616822,10000000
2,word,rbf,500,0.1,7000,0.5430574098798397,3500
2,word,rbf,500,1.0,4708,0.8574766355140186,2599
2,word,rbf,500,10.0,2180,0.9122162883845126,3838
2,word,rbf,500,100.0,1352,0.9325767690253671,15474
2,word,rbf,500,1000.0,1096,0.9332443257676902,94628
2,word,rbf,500,10000.0,1152,0.9265687583444593,301490
2,word,poly,500,0.1,7000,0.5003337783711616,3500
2,word,poly,500,1.0,7000,0.5003337783711616,3500
2,word,poly,500,10.0,7000,0.5003337783711616,3500
2,word,poly,500,100.0,7000,0.5003337783711616,3500
2,word,poly,500,1000.0,7000,0.5003337783711616,3500
2,word,poly,500,10000.0,6957,0.5220293724966623,3604
2s,word,linear,1000,0.1,4038,0.8341121495327103,4004
2s,word,linear,1000,1.0,2634,0.8487983978638184,25323
2s,word,linear,1000,10.0,2082,0.8534712950600801,218077
2s,word,linear,1000,100.0,1961,0.8464619492656876,2603906
2s,word,linear,1000,1000.0,1917,0.8331108144192256,10000000
2s,word,linear,1000,10000.0,1896,0.8277703604806409,10000000
2s,word,rbf,1000,0.1,7000,0.5083444592790387,3500
2s,word,rbf,1000,1.0,6826,0.5911214953271028,3438
2s,word,rbf,1000,10.0,5398,0.7813751668891856,3048
2s,word,rbf,1000,100.0,3537,0.8421228304405874,7008
2s,word,rbf,1000,1000.0,2394,0.8481308411214953,55884
2s,word,rbf,1000,10000.0,2062,0.8484646194926568,226001
2s,word,poly,1000,0.1,7000,0.5006675567423231,3500
2s,word,poly,1000,1.0,7000,0.5006675567423231,3500
2s,word,poly,1000,10.0,7000,0.5006675567423231,3500
2s,word,poly,1000,100.0,7000,0.5006675567423231,3500
2s,word,poly,1000,1000.0,7000,0.5006675567423231,3500
2s,word,poly,1000,10000.0,6999,0.5020026702269693,3501
2,word,linear,5000,0.1,2093,0.9285714285714286,4945
2,word,linear,5000,1.0,1596,0.9432576769025367,13641
2,word,linear,5000,10.0,1469,0.9332443257676902,16500
2,word,linear,5000,100.0,1474,0.9198931909212283,16764
2,word,linear,5000,1000.0,1475,0.9198931909212283,24080
2,word,linear,5000,10000.0,1477,0.9198931909212283,87407
2,word,rbf,5000,0.1,7000,0.5707610146862483,3500
2,word,rbf,5000,1.0,7000,0.5707610146862483,3500
2,word,rbf,5000,10.0,4815,0.8604806408544726,2843
2,word,rbf,5000,100.0,2536,0.9182242990654206,4252
2,word,rbf,5000,1000.0,1815,0.9445927903871829,9132
2,word,rbf,5000,10000.0,1616,0.9385847797062751,15589
2,word,poly,5000,0.1,7000,0.4993324432576769,3500
2,word,poly,5000,1.0,7000,0.4993324432576769,3500
2,word,poly,5000,10.0,7000,0.4993324432576769,3500
2,word,poly,5000,100.0,7000,0.4993324432576769,3500
2,word,poly,5000,1000.0,7000,0.4993324432576769,3500
2,word,poly,5000,10000.0,7000,0.4993324432576769,3500
2s,pos,linear,100,0.1,2395,0.8711615487316422,12518
2s,pos,linear,100,1.0,2195,0.8751668891855807,88355
2s,pos,linear,100,10.0,2164,0.8741655540720962,2068419
2s,pos,linear,100,100.0,2168,0.8748331108144193,10000000
2s,pos,linear,100,1000.0,2354,0.8765020026702269,10000000
2s,pos,linear,100,10000.0,6591,0.5897863818424566,10000000
2s,pos,rbf,100,0.1,4115,0.8427903871829105,2275
2s,pos,rbf,100,1.0,2825,0.8781708945260347,2540
2s,pos,rbf,100,10.0,2287,0.8861815754339119,9648
2s,pos,rbf,100,100.0,2207,0.8808411214953271,47148
2s,pos,rbf,100,1000.0,2074,0.8601468624833111,151303
2s,pos,rbf,100,10000.0,1877,0.8484646194926568,403223
2s,pos,poly,100,0.1,6669,0.5590787716955942,3543
2s,pos,poly,100,1.0,5733,0.6615487316421896,4284
2s,pos,poly,100,10.0,4499,0.7666889185580774,8403
2s,pos,poly,100,100.0,3401,0.8307743658210948,20350
2s,pos,poly,100,1000.0,2654,0.8531375166889186,50348
2s,pos,poly,100,10000.0,2213,0.8508010680907877,93264
2s,word,linear,100,0.1,4804,0.7286381842456608,3142
2s,word,linear,100,1.0,3974,0.7456608811748998,5642
2s,word,linear,100,10.0,3828,0.7493324432576769,20827
2s,word,linear,100,100.0,3850,0.7463284379172229,138514
2s,word,linear,100,1000.0,3837,0.7483311081441922,1372070
2s,word,linear,100,10000.0,3829,0.746995994659546,10000000
2s,word,rbf,100,0.1,6845,0.5707610146862483,3436
2s,word,rbf,100,1.0,5658,0.6905874499332443,3158
2s,word,rbf,100,10.0,4417,0.7339786381842457,4975
2s,word,rbf,100,100.0,3897,0.7436582109479306,31974
2s,word,rbf,100,1000.0,3837,0.7433244325767691,110242
2s,word,rbf,100,10000.0,3776,0.7349799732977303,464314
2s,word,poly,100,0.1,7000,0.5003337783711616,3500
2s,word,poly,100,1.0,7000,0.5003337783711616,3500
2s,word,poly,100,10.0,7000,0.5003337783711616,3500
2s,word,poly,100,100.0,6965,0.5070093457943925,3523
2s,word,poly,100,1000.0,6655,0.5704272363150867,3638
2s,word,poly,100,10000.0,5772,0.6582109479305741,4597
3,pos,linear,200,0.1,2158,0.8848464619492656,8269
3,pos,linear,200,1.0,1900,0.8855140186915887,120982
3,pos,linear,200,10.0,1859,0.8851802403204272,2024955
3,pos,linear,200,100.0,1874,0.8845126835781041,10000000
3,pos,linear,200,1000.0,1933,0.8858477970627503,10000000
3,pos,linear,200,10000.0,6202,0.5460614152202937,10000000
3,pos,rbf,200,0.1,4976,0.8397863818424566,2587
3,pos,rbf,200,1.0,2961,0.8785046728971962,2108
3,pos,rbf,200,10.0,2215,0.8881842456608812,5899
3,pos,rbf,200,100.0,2095,0.8888518024032043,29062
3,pos,rbf,200,1000.0,2155,0.8718291054739653,131374
3,pos,rbf,200,10000.0,2030,0.8578104138851802,381791
3,pos,poly,200,0.1,7000,0.5006675567423231,3500
3,pos,poly,200,1.0,6998,0.5023364485981309,3521
3,pos,poly,200,10.0,6829,0.5450600801068091,3572
3,pos,poly,200,100.0,5794,0.6899198931909212,4680
3,pos,poly,200,1000.0,4217,0.8144192256341789,6796
3,pos,poly,200,10000.0,3187,0.8571428571428571,15856
2s,word,linear,500,0.1,4179,0.8090787716955942,3870
2s,word,linear,500,1.0,2880,0.8277703604806409,27780
2s,word,linear,500,10.0,2472,0.8264352469959947,143965
2s,word,linear,500,100.0,2450,0.8281041388518025,2112989
2s,word,linear,500,1000.0,2416,0.822429906542056,10000000
2s,word,linear,500,10000.0,2401,0.8154205607476636,10000000
2s,word,rbf,500,0.1,7000,0.507343124165554,3500
2s,word,rbf,500,1.0,6501,0.6568758344459279,3302
2s,word,rbf,500,10.0,4846,0.7927236315086782,3007
2s,word,rbf,500,100.0,3291,0.8227636849132176,10070
2s,word,rbf,500,1000.0,2574,0.8334445927903872,82941
2s,word,rbf,500,10000.0,2441,0.8307743658210948,321873
2s,word,poly,500,0.1,7000,0.5003337783711616,3500
2s,word,poly,500,1.0,7000,0.5003337783711616,3500
2s,word,poly,500,10.0,7000,0.5003337783711616,3500
2s,word,poly,500,100.0,7000,0.5003337783711616,3500
