N-GRAM SIZE,N-GRAM TARGET,KERNEL,VECSIZE,C,nSV,SCORE,ITERATIONS
3p,pos,poly,1000,1.0,7000,0.5010013351134847,3500
3p,pos,poly,1000,10.0,6913,0.5367156208277704,3486
3p,pos,poly,1000,100.0,5635,0.7596795727636849,3513
3p,pos,poly,1000,1000.0,3725,0.8731642189586115,4425
3p,pos,poly,1000,10000.0,2882,0.9062082777036048,8192
3p,pos,poly,1000,100000.0,2534,0.904539385847797,11864
3p,pos,poly,1000,1000000.0,2299,0.8901869158878505,14408
3p,word,poly,10000,0.1,7000,0.4993324432576769,3500
3p,word,poly,10000,1.0,7000,0.4993324432576769,3500
3p,word,poly,10000,10.0,7000,0.4993324432576769,3500
3p,word,poly,10000,100.0,7000,0.4993324432576769,3500
3p,word,poly,10000,1000.0,7000,0.4993324432576769,3500
3p,word,poly,10000,10000.0,7000,0.4993324432576769,3500
3p,word,poly,10000,100000.0,7000,0.5417222963951935,3524
3p,word,poly,10000,1000000.0,6846,0.6088117489986649,4901
2sp,pos,poly,100,0.1,5997,0.657543391188251,3145
2sp,pos,poly,100,1.0,4536,0.7933911882510013,3265
2sp,pos,poly,100,10.0,3224,0.8571428571428571,8059
2sp,pos,poly,100,100.0,2521,0.8664886515353805,32018
2sp,pos,poly,100,1000.0,2100,0.8684913217623498,117125
2sp,pos,poly,100,10000.0,1861,0.8487983978638184,398058
2sp,pos,poly,100,100000.0,1720,0.8334445927903872,1168767
2sp,pos,poly,100,1000000.0,1625,0.8234312416555407,10000000
1p,word,poly,1000,0.1,7000,0.5023364485981309,3500
1p,word,poly,1000,1.0,7000,0.5023364485981309,3500
1p,word,poly,1000,10.0,6646,0.6001335113484646,3348
1p,word,poly,1000,100.0,4970,0.8034045393858478,2765
1p,word,poly,1000,1000.0,3098,0.9055407209612817,3612
1p,word,poly,1000,10000.0,2038,0.9279038718291055,5636
1p,word,poly,1000,100000.0,1622,0.927570093457944,9335
1p,word,poly,1000,1000000.0,1425,0.920894526034713,17131
2sp,word,poly,10000,0.1,7000,0.5013351134846462,3500
2sp,word,poly,10000,1.0,7000,0.5013351134846462,3500
2sp,word,poly,10000,10.0,7000,0.5013351134846462,3500
2sp,word,poly,10000,100.0,7000,0.5013351134846462,3500
2sp,word,poly,10000,1000.0,7000,0.5013351134846462,3500
2sp,word,poly,10000,10000.0,6999,0.5093457943925234,3511
2sp,word,poly,10000,100000.0,6861,0.5877837116154874,3934
2sp,word,poly,10000,1000000.0,6069,0.760347129506008,7268
1p,word,poly,50,0.1,5819,0.7096128170894526,3059
1p,word,poly,50,1.0,3928,0.8578104138851802,2522
1p,word,poly,50,10.0,2583,0.8921895861148198,4510
1p,word,poly,50,100.0,1900,0.8991989319092123,29271
1p,word,poly,50,1000.0,1616,0.8918558077436582,407540
1p,word,poly,50,10000.0,1469,0.880173564753004,6973717
1p,word,poly,50,100000.0,1353,0.8674899866488651,10000000
1p,word,poly,50,1000000.0,1359,0.8624833110814419,10000000
2p,pos,poly,100,0.1,5802,0.7166221628838452,3075
2p,pos,poly,100,1.0,3922,0.8464619492656876,2605
2p,pos,poly,100,10.0,2631,0.8881842456608812,4825
2p,pos,poly,100,100.0,2111,0.8928571428571429,22917
2p,pos,poly,100,1000.0,1845,0.8848464619492656,108000
2p,pos,poly,100,10000.0,1627,0.8628170894526035,381189
2p,pos,poly,100,100000.0,1551,0.8484646194926568,1269185
2p,pos,poly,100,1000000.0,1432,0.8371161548731643,4617251
3p,word,poly,100,0.1,7000,0.5120160213618158,3500
3p,word,poly,100,1.0,7000,0.5120160213618158,3500
3p,word,poly,100,10.0,7000,0.5120160213618158,3500
3p,word,poly,100,100.0,6764,0.5761014686248331,3431
3p,word,poly,100,1000.0,5588,0.6802403204272364,2898
3p,word,poly,100,10000.0,4597,0.6909212283044058,2457
3p,word,poly,100,100000.0,4428,0.6909212283044058,4341
3p,word,poly,100,1000000.0,4415,0.6909212283044058,4497
2p,pos,poly,50,0.1,4754,0.7993991989319092,2911
2p,pos,poly,50,1.0,3126,0.8634846461949266,2972
2p,pos,poly,50,10.0,2405,0.8751668891855807,16466
2p,pos,poly,50,100.0,2081,0.8734979973297731,114442
2p,pos,poly,50,1000.0,1860,0.8554739652870494,1341800
2p,pos,poly,50,10000.0,1705,0.8381174899866488,10000000
2p,pos,poly,50,100000.0,1580,0.8227636849132176,10000000
2p,pos,poly,50,1000000.0,1771,0.7750333778371161,10000000
2sp,word,poly,1000,0.1,7000,0.5003337783711616,3500
2sp,word,poly,1000,1.0,7000,0.5003337783711616,3500
2sp,word,poly,1000,10.0,7000,0.5003337783711616,3500
2sp,word,poly,1000,100.0,6999,0.5010013351134847,3503
2sp,word,poly,1000,1000.0,6818,0.5710947930574098,3538
2sp,word,poly,1000,10000.0,5721,0.7379839786381842,4143
2sp,word,poly,1000,100000.0,4194,0.8177570093457944,7062
2sp,word,poly,1000,1000000.0,3009,0.8264352469959947,8073
2sp,pos,poly,200,0.1,6644,0.5740987983978638,3363
2sp,pos,poly,200,1.0,5431,0.7316421895861148,2952
2sp,pos,poly,200,10.0,3917,0.8367823765020027,4638
2sp,pos,poly,200,100.0,2769,0.8795060080106809,9568
2sp,pos,poly,200,1000.0,2169,0.8828437917222964,31107
2sp,pos,poly,200,10000.0,1847,0.8718291054739653,97997
2sp,pos,poly,200,100000.0,1754,0.8568090787716955,242904
2sp,pos,poly,200,1000000.0,1580,0.8421228304405874,1833276
3p,pos,poly,50,0.1,6452,0.6491989319092123,3318
3p,pos,poly,50,1.0,4463,0.8090787716955942,2647
3p,pos,poly,50,10.0,3076,0.8477970627503337,8811
3p,pos,poly,50,100.0,2543,0.8474632843791722,45389
3p,pos,poly,50,1000.0,2264,0.8384512683578104,653901
3p,pos,poly,50,10000.0,2069,0.8117489986648865,5370084
3p,pos,poly,50,100000.0,1896,0.7970627503337784,10000000
3p,pos,poly,50,1000000.0,1911,0.7760347129506008,10000000
3p,word,poly,1000,0.1,7000,0.5173564753004005,3500
3p,word,poly,1000,1.0,7000,0.5173564753004005,3500
3p,word,poly,1000,10.0,7000,0.5173564753004005,3500
3p,word,poly,1000,100.0,7000,0.5173564753004005,3500
3p,word,poly,1000,1000.0,7000,0.5173564753004005,3500
3p,word,poly,1000,10000.0,6718,0.5947930574098799,3719
3p,word,poly,1000,100000.0,5331,0.7166221628838452,4124
3p,word,poly,1000,1000000.0,3722,0.7983978638184246,3860
3p,pos,poly,200,0.1,6998,0.5006675567423231,3499
3p,pos,poly,200,1.0,6648,0.6188251001335113,3386
3p,pos,poly,200,10.0,4751,0.8084112149532711,2831
3p,pos,poly,200,100.0,3077,0.8731642189586115,4366
3p,pos,poly,200,1000.0,2474,0.8808411214953271,19955
3p,pos,poly,200,10000.0,2208,0.8614819759679573,29595
3p,pos,poly,200,100000.0,2018,0.8481308411214953,44489
3p,pos,poly,200,1000000.0,1956,0.8361148197596796,50984
1p,word,poly,5000,0.1,7000,0.5023364485981309,3500
1p,word,poly,5000,1.0,7000,0.5023364485981309,3500
1p,word,poly,5000,10.0,7000,0.5023364485981309,3500
1p,word,poly,5000,100.0,6929,0.5400534045393859,3477
1p,word,poly,5000,1000.0,5764,0.7309746328437917,3276
1p,word,poly,5000,10000.0,3815,0.8788384512683578,3607
1p,word,poly,5000,100000.0,2530,0.9235647530040053,4997
1p,word,poly,5000,1000000.0,2168,0.9332443257676902,6441
2p,word,poly,5000,0.1,7000,0.5010013351134847,3500
2p,word,poly,5000,1.0,7000,0.5010013351134847,3500
2p,word,poly,5000,10.0,7000,0.5010013351134847,3500
2p,word,poly,5000,100.0,7000,0.5010013351134847,3500
2p,word,poly,5000,1000.0,7000,0.5010013351134847,3500
2p,word,poly,5000,10000.0,6899,0.6081441922563418,3699
2p,word,poly,5000,100000.0,5113,0.8731642189586115,5417
2p,word,poly,5000,1000000.0,3306,0.9115487316421896,6910
3p,word,poly,200,0.1,7000,0.5176902536715621,3500
3p,word,poly,200,1.0,7000,0.5176902536715621,3500
3p,word,poly,200,10.0,7000,0.5176902536715621,3500
3p,word,poly,200,100.0,6999,0.5153538050734312,3507
3p,word,poly,200,1000.0,6266,0.6285046728971962,3296
3p,word,poly,200,10000.0,4931,0.7202937249666221,2777
3p,word,poly,200,100000.0,3975,0.7309746328437917,3481
3p,word,poly,200,1000000.0,3909,0.7299732977303071,4193
2sp,word,poly,50,0.1,7000,0.5006675567423231,3500
2sp,word,poly,50,1.0,6962,0.5113484646194927,3494
2sp,word,poly,50,10.0,6415,0.5927903871829105,3356
2sp,word,poly,50,100.0,5496,0.6585447263017357,3627
2sp,word,poly,50,1000.0,4793,0.6672229639519359,10600
2sp,word,poly,50,10000.0,4543,0.6738985313751669,54542
2sp,word,poly,50,100000.0,4508,0.6852469959946595,511547
2sp,word,poly,50,1000000.0,4505,0.6845794392523364,4089073
1p,word,poly,100,0.1,6659,0.5951268357810414,3360
1p,word,poly,100,1.0,5009,0.7940587449933244,2703
1p,word,poly,100,10.0,3170,0.8881842456608812,3259
1p,word,poly,100,100.0,2043,0.9108811748998665,6912
