N-GRAM SIZE,N-GRAM TARGET,KERNEL,VECSIZE,C,nSV,SCORE,ITERATIONS
3p,pos,poly,1000,1.0,7000,0.4993324432576769,3500
3p,pos,poly,1000,10.0,7000,0.4993324432576769,3500
3p,pos,poly,1000,100.0,7000,0.4993324432576769,3500
3p,pos,poly,1000,1000.0,6999,0.49966622162883845,3531
3p,pos,poly,1000,10000.0,6978,0.5083444592790387,3657
3p,pos,poly,1000,100000.0,6826,0.5460614152202937,4970
3p,pos,poly,1000,1000000.0,6280,0.6475300400534045,8048
3p,word,poly,10000,0.1,7000,0.4993324432576769,3500
3p,word,poly,10000,1.0,7000,0.4993324432576769,3500
3p,word,poly,10000,10.0,7000,0.4993324432576769,3500
3p,word,poly,10000,100.0,7000,0.4993324432576769,3500
3p,word,poly,10000,1000.0,7000,0.4993324432576769,3500
3p,word,poly,10000,10000.0,7000,0.4993324432576769,3500
3p,word,poly,10000,100000.0,7000,0.4993324432576769,3500
3p,word,poly,10000,1000000.0,7000,0.4993324432576769,3500
2sp,pos,poly,100,0.1,6861,0.5257009345794392,3863
2sp,pos,poly,100,1.0,6366,0.5861148197596796,4541
2sp,pos,poly,100,10.0,5465,0.6652202937249666,6972
2sp,pos,poly,100,100.0,4386,0.7533377837116155,16709
2sp,pos,poly,100,1000.0,3409,0.8100801068090788,39800
2sp,pos,poly,100,10000.0,2679,0.8364485981308412,83124
2sp,pos,poly,100,100000.0,2300,0.8354472630173565,151970
2sp,pos,poly,100,1000000.0,2091,0.8344459279038718,254399
1p,word,poly,1000,0.1,7000,0.5,3500
1p,word,poly,1000,1.0,7000,0.5,3500
1p,word,poly,1000,10.0,7000,0.5,3500
1p,word,poly,1000,100.0,7000,0.5006675567423231,3508
1p,word,poly,1000,1000.0,6984,0.503004005340454,3535
1p,word,poly,1000,10000.0,6864,0.5333778371161548,3764
1p,word,poly,1000,100000.0,6357,0.599799732977303,4381
1p,word,poly,1000,1000000.0,5350,0.7032710280373832,6237
2sp,word,poly,10000,0.1,7000,0.4993324432576769,3500
2sp,word,poly,10000,1.0,7000,0.4993324432576769,3500
2sp,word,poly,10000,10.0,7000,0.4993324432576769,3500
2sp,word,poly,10000,100.0,7000,0.4993324432576769,3500
2sp,word,poly,10000,1000.0,7000,0.4993324432576769,3500
2sp,word,poly,10000,10000.0,7000,0.4993324432576769,3500
2sp,word,poly,10000,100000.0,7000,0.4993324432576769,3500
2sp,word,poly,10000,1000000.0,7000,0.4993324432576769,3500
1p,word,poly,50,0.1,6818,0.5383845126835781,3571
1p,word,poly,50,1.0,6231,0.609479305740988,4060
1p,word,poly,50,10.0,5211,0.692256341789052,6321
1p,word,poly,50,100.0,3991,0.7830440587449933,10340
1p,word,poly,50,1000.0,3030,0.8508010680907877,51053
1p,word,poly,50,10000.0,2225,0.8724966622162884,146589
1p,word,poly,50,100000.0,1773,0.8691588785046729,356272
1p,word,poly,50,1000000.0,1642,0.8504672897196262,657906
2p,pos,poly,100,0.1,6826,0.5317089452603472,3768
2p,pos,poly,100,1.0,6197,0.6124833110814419,4318
2p,pos,poly,100,10.0,5065,0.712283044058745,6757
2p,pos,poly,100,100.0,3892,0.794392523364486,12864
2p,pos,poly,100,1000.0,3015,0.8494659546061415,31815
2p,pos,poly,100,10000.0,2397,0.8581441922563418,65720
2p,pos,poly,100,100000.0,2097,0.8544726301735648,112306
2p,pos,poly,100,1000000.0,1972,0.8538050734312417,183951
3p,word,poly,100,0.1,7000,0.5083444592790387,3500
3p,word,poly,100,1.0,7000,0.5083444592790387,3500
3p,word,poly,100,10.0,7000,0.5083444592790387,3500
3p,word,poly,100,100.0,7000,0.5083444592790387,3500
3p,word,poly,100,1000.0,7000,0.5083444592790387,3500
3p,word,poly,100,10000.0,7000,0.5083444592790387,3500
3p,word,poly,100,100000.0,6879,0.5193591455273698,3515
3p,word,poly,100,1000000.0,6325,0.5984646194926568,3348
2p,pos,poly,50,0.1,6030,0.6241655540720962,4266
2p,pos,poly,50,1.0,4882,0.7222963951935915,8300
2p,pos,poly,50,10.0,3789,0.7970627503337784,20776
2p,pos,poly,50,100.0,2931,0.8371161548731643,54613
2p,pos,poly,50,1000.0,2435,0.8414552736982643,137380
2p,pos,poly,50,10000.0,2172,0.8304405874499332,315626
2p,pos,poly,50,100000.0,1963,0.8304405874499332,484711
2p,pos,poly,50,1000000.0,1817,0.8134178905206942,916869
2sp,word,poly,1000,0.1,7000,0.4993324432576769,3500
2sp,word,poly,1000,1.0,7000,0.4993324432576769,3500
2sp,word,poly,1000,10.0,7000,0.4993324432576769,3500
2sp,word,poly,1000,100.0,7000,0.4993324432576769,3500
2sp,word,poly,1000,1000.0,7000,0.4993324432576769,3500
2sp,word,poly,1000,10000.0,7000,0.4993324432576769,3500
2sp,word,poly,1000,100000.0,7000,0.4993324432576769,3500
2sp,word,poly,1000,1000000.0,6999,0.5003337783711616,3526
2sp,pos,poly,200,0.1,6996,0.5837783711615487,3555
2sp,pos,poly,200,1.0,6913,0.5213618157543392,3703
